judul,isi,label
Panglima TNI sebut empat prajurit gugur di Papua sudah dievakuasi,"
				Jakarta (ANTARA) - Panglima TNI Jenderal TNI Agus Subiyanto mengatakan empat prajurit Satgas Yonif Mekanis Raider 411/Pandawa Kostrad yang gugur di Distrik Paro, Kabupaten Nduga, Papua, telah dievakuasi dan dibawa ke rumah duka.

""Sudah (dievakuasi) hari ini, dibawa ke rumah duka masing-masing. Jawa Barat, Jawa Tengah,” kata Agus ditemui usai Rapat Koordinasi Nasional Sentra Penegakan Hukum Terpadu di Jakarta, Senin.

Keempat prajurit tersebut juga telah diberi santunan sebagaimana haknya. ""Kita berikan santunan sesuai hak-hak dia. Ada dari (PT) Asabri, TNI AD, Bank BRI, Bank BJB. Jumlahnya per orang lebih dari Rp500 juta,"" kata Agus.

Panglima juga menyatakan berduka cita atas kejadian itu. ""Kita semua turut berduka cita,"" imbuhnya.

Baca juga: Jenazah Kopda Anumerta Probo Siniwoko dimakamkan di TMP Madiun

Agus Subiyanto mengatakan bahwa gugurnya empat prajurit TNI itu berkaitan dengan operasi pengejaran terhadap Organisasi Papua Merdeka (OPM) di Distrik Paro.

""Itu pengejaran kemarin yang OPM membunuh masyarakat yang ada di Paro,"" jelas Panglima.

Empat prajurit yang gugur tersebut adalah Praka Yipsan Ladou, Praka Dwi Bekti Probo Siniwoko, Pratu Miftahul Firdaus, dan Prada Darmawan. Keempatnya gugur saat baku tembak dengan kelompok kriminal bersenjata (KKB) di Distrik Paro, Kabupaten Nduga, Papua, Sabtu (25/11).

Baca juga: Satgas Yonif 411/Pandawa Kostrad gagalkan pasokan senjata api ke Nduga

Salah satu jenazah prajurit yang gugur, Dwi Bekti Probo Siniwoko (28), dimakamkan di Taman Makam Pahlawan Kota Madiun, Jawa Timur, Senin. Pemakaman dilakukan secara militer dengan dipimpin Panglima Divisi Infanteri 2 Kostrad Mayor Jenderal TNI Haryanto.

Almarhum Probo Siniwoko yang gugur dalam tugas mendapat kenaikan pangkat luar biasa sebagai penghargaan dari negara atas darma baktinya kepada nusa dan bangsa, dari pangkat sebelumnya prajurit kepala menjadi kopral dua anumerta.

""Keluarga besar TNI AD sangat berduka cita kehilangan prajurit terbaik. Almarhum Kopda Anumerta Dwi Bekti Probo Siniwoko merupakan kusuma bangsa yang gugur dalam menunaikan tugas negara. Sebagai tanda jasa bagi prajurit yang gugur dalam tugas, mendapatkan hak berupa kenaikan pangkat luar biasa satu tingkat,"" ujar Mayjen TNI Haryanto dalam sambutan upacara pemakaman militer tersebut.

Baca juga: Empat prajurit gugur di Mugi dapat kenaikan pangkat luar biasa
Baca juga: Jenazah relawan kemanusiaan korban KKB dievakuasi ke Jayapura
Baca juga: Kasatgas Humas: 23 korban penyerangan KKB dievakuasi ke TimikaPewarta: Fath Putra MulyaEditor: Didik Kusbiantoro				COPYRIGHT © ANTARA 2023
",hukum
Anggota Komisi III yakin Kapolri jaga netralitas aparat pada pemilu,"
Netralitas Polri adalah fondasi dari integritas pemilu.Jakarta (ANTARA) - Anggota Komisi III DPR RI Moh. Rano Alfath yakin Kapolri Jenderal Pol. Listyo Sigit Prabowo mampu bertanggung jawab menjaga netralitas aparat pada perhelatan Pemilu 2024.

""Sebagai mitra yang bekerja dekat dengan Polri, saya yakin sepenuhnya bahwa Pak Kapolri bisa secara penuh tanggung jawab dan profesional menjaga netralitas jajaran yang dipimpinnya,"" kata Rano dalam keterangan yang diterima di Jakarta, Senin.

Menurut dia, Polri memiliki prinsip netralitas yang teguh dan akan tunduk pada undang-undang, khususnya Undang-Undang Nomor 2 Tahun 2002 tentang Kepolisian Republik Indonesia.

""Komitmen ini juga tercermin dari surat telegram yang sudah Kapolri terbitkan sehingga memastikan bahwa pemilu berlangsung dengan adil dan bebas dari pengaruh yang tidak seharusnya,"" ujarnya.

Rano menilai netralitas Polri merupakan hal krusial dalam proses pemilu. Apabila masyarakat percaya polisi bertindak dengan integritas dan netralitas, akan memperkuat kepercayaan publik terhadap lembaga-lembaga demokratis dan hasil pemilu itu sendiri.

""Simpelnya netralitas Polri adalah fondasi dari integritas pemilu. Netralitas aparat kepolisian membantu mempertahankan kepercayaan publik dalam berdemokrasi,"" katanya.

Wakil rakyat ini memandang Operasi Mantap Brata untuk pengamanan pemilu sudah cukup matang dengan jumlah pelibatan personel yang sudah sesuai pula, yakni sebanyak 261.695 personel.

""Hal ini menjadi bukti bahwa Kapolri sangat memahami pentingnya strategi yang terarah dan efisien dalam menghadapi situasi yang kompleks selama periode pemilihan,"" tuturnya.

Ia berharap semangat netralitas dan profesionalisme yang telah ditunjukkan oleh Polri selama tahapan proses Pemilu 2024 tetap terjaga dalam berbagai aspek tugas maupun tanggung jawab yang dijalankan.

""Yang terpenting, saya minta seluruh jajaran kepolisian implementasikan dengan baik arahan yang sudah diberikan Kapolri ini,"" kata dia.

Baca juga: Bawaslu Cianjur pantau netralitas ASN di medsos
Baca juga: Kemendagri ingatkan ASN dilarang swafoto tunjukkan simbol dukunganPewarta: Melalusa Susthira KhalidaEditor: D.Dj. Kliwantoro				COPYRIGHT © ANTARA 2023
",hukum
Kejari Langsa memusnahkan barang bukti dari 77 perkara,"

 









								ANTARA - Kejaksaan Negeri (Kejari) Langsa memusnahkan barang bukti tindak pidana umum yang telah memiliki kekuatan hukum tetap, Senin (27/11). Barang bukti yang dimusnahkan adalah hasil tangkapan periode Juli hingga November 2023. (Try Vanny S/Soni Namura/I Gusti Agung Ayu N)							
",hukum
KPK kembali tetapkan eks Dirjen Keuangan Daerah Kemendagri tersangka,"
				Jakarta (ANTARA) - KPK kembali menetapkan Direktur Jenderal Bina Keuangan Daerah Kementerian Dalam Negeri Periode 2020-2021 Mochamad Ardian Noervianto (MAN) sebagai tersangka kasus dugaan suap terkait pengajuan dana Pemulihan Ekonomi Nasional di Kabupaten Muna Tahun 2021-2022.
 
""KPK mengembangkan penanganan perkaranya ke tahap penyidikan dengan menetapkan dan mengumumkan tersangka MAN selaku Direktur Jenderal Bina Keuangan Daerah Kementerian Dalam Negeri periode Juli 2020 sampai dengan November 2021,"" ujar Direktur Penyidikan KPK Asep Guntur Rahayu di Gedung Merah Putih KPK, Jakarta Selatan, Senin.
 
Selain Ardian, KPK menetapkan tiga tersangka lain, yakni Bupati Kabupaten Muna La Ode Muhammad Rusman Emba (LMRE), Kepala Dinas Lingkungan Hidup Kabupaten Muna Laode M. Syukur Akbar (LMSA) dan pemilik PT Mitra Pembangunan Sultra (MPS) La Ode Gomberto.
 
Asep mengatakan penetapan empat tersangka tersebut merupakan bagian dari pengembangan penyidikan dalam kasus pinjaman Pemulihan Ekonomi Nasional (PEN) Tahun 2021 di Kabupaten Kolaka Timur.
 
""Kenapa ini disebut pengembangan penyidikan karena perkara serupa sudah ditangani lebih dahulu di Kolaka Timur,"" kata Asep.

Pada kesempatan yang sama, Kepala Bagian Pemberitaan KPK Ali Fikri menjelaskan Mochamad Ardian Noervianto dan Laode M Syukur Akbar saat ini telah menjadi terpidana dalam kasus dana PEN Kabupaten Kolaka Timur.

Baca juga: Bupati Kolaka Timur divonis 3,5 tahun penjara terkait dana PEN
Baca juga: Bupati Kolaka Timur nonaktif dituntut 4 tahun penjara terkait dana PEN

""Kedua orang ini sudah didakwa dan diputus oleh pengadilan, namun untuk Kabupaten Muna keduanya akan kembali didakwa,"" kata Ali.

Ardian dijerat dengan Pasal 12 huruf a atau Pasal 12 huruf b atau Pasal 11 Undang-Undang (UU) Nomor 31 Tahun 1999 tentang Pemberantasan Tindak Pidana Korupsi sebagaimana diubah dengan UU Nomor 20 Tahun 2001 juncto Pasal 55 ayat (1) ke-1 KUHP.
 
Untuk diketahui, Ardian saat ini telah menyandang status sebagai terpidana dalam perkara penerimaan suap terkait persetujuan dana pinjaman Pemulihan Ekonomi Nasional (PEN) Kabupaten Kolaka Timur, Sulawesi Tenggara Tahun Anggaran (TA) 2021.
 
Ardian dijatuhi hukuman penjara selama 6 tahun dan diwajibkan untuk membayar pidana denda sebesar Rp250 juta ditambah dengan pembayaran uang pengganti sebesar 131 ribu dolar Singapura.
 
Menurut Majelis Hakim Pengadilan Tipikor Jakarta, Ardian terbukti melakukan perbuatan berdasarkan Pasal 12 huruf a juncto Pasal 18 Undang-Undang (UU) Nomor 31 Tahun 1999 tentang Pemberantasan Tindak Pidana Korupsi sebagaimana diubah dengan UU Nomor 20 Tahun 2001 juncto Pasal 55 ayat (1) ke-1 juncto Pasal 64 ayat (1) KUHP.
 
Ardian terbukti menerima Rp1,5 miliar dalam bentuk 131 ribu dolar Singapura dari Bupati Kolaka Timur nonaktif Andi Merya. Setelah Ardian menerima uang tersebut, ia lalu menerbitkan surat yang ditujukan ke Mendagri, yaitu surat No. 979/6187/Keuda pada 14 September 2021 mengenai Pertimbangan Atas Usulan Pinjaman PEN Kolaka Timur TA 2021 yang pada pokoknya menyatakan daerah tersebut dapat menerima pinjaman paling besar Rp151 miliar.
 
Namun, dana PEN tersebut tidak sempat cair karena Andi Merya terlebih dahulu diamankan dalam operasi tangkap tangan (OTT) oleh KPK pada 21 September 2021 terkait penerimaan suap dana bencana alam yang dikelola BPBD Kolaka Timur.Pewarta: Fianda Sjofjan RassatEditor: Herry Soebanto				COPYRIGHT © ANTARA 2023
",hukum
Tiga kurir ganja 135 kilogram dituntut hukuman mati,"
				Medan (ANTARA) - Jaksa Penuntut Umum Kejaksaan Tinggi Sumatera Utara Randi H Tambunan menuntut mati tiga terdakwa kurir narkotika jenis ganja seberat 135 kilogram.
""Menuntut terdakwa Supriadi, terdakwa Wildan alias Wily dan terdakwa Arwanda Anggara (dilakukan penuntutan terpisah) dengan pidana mati,"" ujar Randi di Pengadilan Negeri Medan, Sumatera Utara, Senin.

Ia mengatakan, dari fakta-fakta persidangan; ketiga terdakwa melanggar Pasal 114 ayat (2) Undang-Undang RI No 35 tahun 2009 tentang Narkotika Pasal 55 ayat (1) ke 1 KUHP.

Inti pasal itu, kata Randi, tiga terdakwa melakukan, yang menyuruh melakukan dan yang turut serta melakukan perbuatan tanpa hak atau melawan hukum menawarkan untuk dijual, menjual, membeli, menerima, menjadi perantara dalam jual beli, menukar, menyerahkan narkotika golongan I jenis ganja.

""Hal yang memberatkan ketiga terdakwa tidak mendukung program pemerintah dalam pemberantasan narkoba, hal yang meringankan tidak ada,"" ucap Randi.

Setelah membacakan nota tuntutan dari jaksa penuntut umum, majelis hakim diketuai oleh Fahren melanjutkan persidangan pekan depan dengan agenda pembelaan (pledoi) dari terdakwa maupun penasihat hukum terdakwa.

Dalam dakwaan terungkap, JPU Kejati Sumut Frianta Felix Ginting mengatakan pada Jumat 26 Mei 2023, Wildan bertemu dengan Ali (penyelidikan) di Kecamatan Piding, Kabupaten Gayo Lues, Aceh.

""Ali menawarkan pekerja untuk mengantarkan ganja dengan upah Rp30 juta untuk diserahkan kepada Alfi (lidik),"" katanya.

Kemudian, dua terdakwa dari Aceh tersebut bertemu Arwandan dan Alfi menuju gudang di Jalan Tanjung Sari Medan Sunggal, Medan untuk diberikan dengan berat keseluruhan 135 kilogram.

""Mendapatkan informasi dari masyarakat petugas Ditresnarkoba Polda Sumut melakukan penggerebekan di tempat lokasi,"" ucap Frianta.

Hasil penangkapan tersebut, Alfi melarikan diri saat petugas polisi melakukan penangkapan, sementara tiga terdakwa diamankan beserta barang bukti yang didapat seberat 135 kilogram.Pewarta: M. Sahbainy NasutionEditor: Hisar Sitanggang				COPYRIGHT © ANTARA 2023
",hukum
"Komisi III yakini KPK makin ""gaspol"" berantas korupsi dipimpin Nawawi","
				Jakarta (ANTARA) - Wakil Ketua Komisi III DPR RI Ahmad Sahroni meyakini Komisi Pemberantasan Korupsi (KPK) akan semakin kencang atau gaspol dalam memberantas dan mencegah praktik rasuah di bawah kepemimpinan Ketua KPK sementara Nawawi Pomolango yang baru saja mengambil sumpah jabatan di Istana Negara, Jakarta, Senin.

""KPK di bawah kepemimpinan Pak Nawawi pastinya akan semakin rapi secara struktur, semakin bijak dalam menggunakan kewenangan, dan semakin 'gaspol' dalam pemberantasan-pencegahan,” kata Sahroni dalam keterangan yang diterima di Jakarta.

Menurut dia, hal itu dilatarbelakangi pengalaman karier Nawawi yang panjang sebagai hakim di pengadilan dapat menjadi poin positif dalam hal pemberantasan korupsi.

“Pak Nawawi ini punya karier panjang sebagai hakim di pengadilan. Jadi, saya rasa tidak usah diragukan lagi dalam soal profesionalitas, integritas, kearifan, dan ketegasannya,"" ujarnya.

Bahkan, Sahroni berharap sosok Nawawi tidak hanya menjadi sosok pengganti sementara pimpinan KPK lantaran Firli Bahuri menjadi tersangka kasus dugaan pemerasan, melainkan menjadi Ketua KPK tetap untuk seterusnya.

“Bahkan saya berharap Pak Nawawi bisa jadi Ketua Tetap KPK nantinya, bukan hanya sementara,” ucapnya.

Untuk itu, dia menilai pilihan Presiden Joko Widodo (Jokowi) sudah tepat dalam mengangkat Nawawi sebagai Ketua sementara KPK karena memiliki karakter yang berintegritas.

“Saya kira pilihan Pak Presiden untuk melantik Pak Nawawi sudah sangat tepat karena sebagai mitra kerja KPK, saya sangat mengenal baik karakter beliau. Pak Nawawi orang yang memiliki integritas tinggi dan punya spirit pemberantasan korupsi yang tidak main-main,"" tuturnya.

Meski demikian, Sahroni juga mewanti-wanti Nawawi agar tetap peka dalam membenahi permasalahan di internal KPK yang menurutnya perlu segera dilakukan.

""Namun meski begitu, dengan posisi yang lebih tinggi saat ini, saya harap Pak Nawawi tidak jadi luput dan tetap peka dalam melihat serta membenahi problem di internal KPK,” ucap dia.

Sebelumnya, Nawawi Pomolango resmi menjadi Ketua KPK sementara masa jabatan 2019-2024 setelah membacakan sumpah jabatan di Istana Negara, Jakarta, Senin, menggantikan Firli Bahuri yang telah ditetapkan sebagai tersangka kasus dugaan pemerasan oleh Polda Metro Jaya.

Pengucapan sumpah jabatan itu dilakukan usai sebelumnya Presiden menandatangani Keputusan Presiden Nomor 116 Tahun 2023 tentang pemberhentian sementara Ketua KPK Firli Bahuri dan pengangkatan Wakil Ketua KPK Nawawi Pomolango sebagai Ketua KPK sementara, tertanggal 24 November 2023.Pewarta: Melalusa Susthira KhalidaEditor: Edy M Yakub				COPYRIGHT © ANTARA 2023
",hukum
Polisi tangkap dua penjual kosmetik tanpa izin di Kalteng,"
				Palangka Raya (ANTARA) - Direktorat Reserse Kriminal Khusus Polda Kalteng menangkap dua orang penjual kosmetik tanpa izin yang dapat membahayakan kesehatan manusia
Kasubdit V Tipitidsiber Ditreskrimsus Polda Kalteng AKBP Zaldy Kurniawan di Palangka Raya, Senin, mengatakan dua orang yang ditangkap tersebut berinisial LO (30) pekerjaan swasta dan YD (39), pekerjaan sebagai Pegawai Negeri Sipil (PNS).

""Penangkapan mereka itu dilakukan di dua tempat yang berbeda. Pertama di Jalan Menteng dan satunya Jalan G Obos Kota Palangka Raya pada tanggal 22 November 2023 lalu,"" kata Zaldy Kurniawan.

Dijelaskan perwira Polri berpangkat melati dua itu, sebelum dilakukan penangkapan pada November 2023 tim patroli siber Polda Kalteng menemukan akun facebook yang dimana mengunggah perihal peredaran dan penyedia farmasi yaitu bidang kosmetik.

Kemudian setelah didalami dalam unggahan tersebut, ditemukan produk-produk yang diduga tidak sesuai dengan standar dan persyaratan keamanan, khasiat atau kemanfaatan, dan mutunya tidak mengantongi izin edar dari BPOM.

Melihat hal tersebut, selanjutnya anggota patroli siber membuat laporan informasi yang selanjutnya dilakukan penyelidikan oleh penyidik Subdit V Tipidsiber di Ditreskrimsus Polda Kalteng.

Setelah dilakukan pendalaman oleh penyidik, pada 22 November 2023
penyidik melakukan penindakan pada dua tempat kejadian perkara (TKP), kemudian mengamankan dua orang pelaku beserta barang bukti ke kantor Ditreskrimsus Polda Kalteng.

""Untuk barang bukti dari TKP pertama ada 10 item seperti 2.637 produk merk Brilliant (sabun, cream, toner, serum, kemudian 1.403 produk merk Smooths dalam bentuk sabun, cream, toner dan serum,"" katanya.

Barang bukti selanjutnya, 47 produk Andrea beauty (body lotion), 82 produk merk Face Glow, 34 produk merk apotek cendana, 52 produk merk Dubai Super Raja Pemutih, 525 buah tas merk Smooth Skin, satu buah Banner bertuliskan Stokis Skincare dan Body Care Palangka Raya, satu akun facebook dan Satu unit handphone merk oppo.

Ditambahkannya, untuk TKP yang kedua ada 14 item, pertama 1.378 produk merk Brilliant (Sabun, Cream, Toner, Serum), 656 produk merk Smooths Skin (Sabun, Cream, Toner, Serum), 28 produk Ultimate Night Cream, 16 produk merk BB Glow, 86 produk merk Andrea beauty, empat produk merk Gluta Kapsul, 51 produk merk Face Toner Glow, 29 produk merk Kapsul Diet Herbal.

Ada pula, satu pcs Body lotion tanpa merk, 291 tas merk Smooth Skin, lima produk merk cream perontok bulu, satu unit ponsel
dan satu akun facebook.

Sedangkan pasal yang diterapkan kedua orang tersebut yang juga sudah ditetapkan sebagai tersangka yakni Pasal 45A ayat (1) Jo Pasal 28 ayat (1) Undang-Undang RI Nomor 19 Tahun 2016 tentang perubahan atas Undang-Undang Nomor 11 Tahun 2008 tentang Informasi dan Transaksi Elektronik dan/atau Pasal 62 ayat (1) Jo Pasal 8 ayat (1) huruf a dan g Undang-Undang Nomor 8 tahun 1999 tentang Perlindungan Konsumen dan/atau Pasal 435 dan/atau Pasal 138 ayat (2) Undang-Undang Nomor 17 tahun 2023 tentang Kesehatan.

Keduanya juga terancam hukuman maksimal enam tahun penjara dan denda paling banyak Rp1 miliar.

""Keduanya sudah mendekam di Rumah Tahanan (Rutan) Mapolda Kalteng untuk mempertanggungjawabkan perbuatannya itu,"" demikian Zaldy Kurniawan.Pewarta: Adi WibowoEditor: Hisar Sitanggang				COPYRIGHT © ANTARA 2023
",hukum
"Bea Cukai Aceh musnahkan barang ilegal senilai Rp1,7 miliar","
				Banda Aceh (ANTARA) - Kantor Wilayah Direktorat Jenderal Bea dan Cukai Provinsi Aceh memusnahkan berbagai barang ilegal hasil penindakan kepabeanan dan cukai di berbagai wilayah di provinsi ujung barat Indonesia tersebut dengan nilai sekitar Rp1,7 miliar.

Pemusnahan berlangsung di Kantor Wilayah Direktorat Jenderal Bea Cukai Provinsi Aceh di Banda Aceh, Senin.

Kepala Bidang Fasilitas Kepabeanan dan Cukai Kantor Wilayah Direktorat Jenderal Bea Cukai Provinsi Aceh Leni Rahmasari menyebut barang-barang ilegal itu, di antaranya 1,09 juta batang rokok ilegal, suku cadang mesin dan kendaraan bermotor, alat kesehatan, alat permainan orang dewasa, bagian senjata api, bahan makanan, obat-obatan, kosmetika, dan lainnya.

Pemusnahan itu dilakukan dengan cara menghancurkan barang-barang tersebut kemudian dibakar. Pemusnahan dilakukan agar barang-barang ilegal tersebut agar tidak dapat lagi digunakan atau disalahgunakan.

Leni mengatakan barang-barang yang dimusnahkan merupakan hasil penindakan kantor wilayah dan kantor Bea Cukai Banda Aceh serta Sabang. Nilai barang-barang ilegal yang dimusnahkan tersebut diperkirakan mencapai Rp1,7 miliar lebih dan total perkiraan kerugian negara dari bea masuk, cukai serta pajak dalam rangka impor mencapai Rp1,08 miliar lebih.

Baca juga: Bea Cukai Aceh terapkan sanksi ""ultimum remedium"" kasus rokok ilegal

Dia mengatakan barang-barang ilegal yang dimusnahkan tersebut merupakan hasil penindakan dalam rentang waktu setahun terakhir, di antaranya penindakan saat operasi pasar serta pencegahan melalui pembelian secara daring dari luar negeri.

Menurut Leni, penindakan dan pemusnahan barang-barang ilegal tersebut merupakan komitmen jajaran Bea Cukai dalam melindungi masyarakat dari peredaran barang-barang dari luar negeri dan rokok ilegal. Peredaran barang ilegal tersebut merugikan keuangan negara.

""Kami berharap pemusnahan ini menjadi edukasi kepada masyarakat untuk tidak membeli barang-barang ilegal serta rokok tanpa cukai. Kami juga terus meningkatkan pengawasan terhadap masuknya barang-barang tanpa izin ke wilayah kepabeanan, khusus di Provinsi Aceh,"" kata Leni Rahmasari.

Baca juga: Bea Cukai Langsa musnahkan 2,3 juta batang rokok ilegal
Baca juga: Bea Cukai Malang dan Banda Aceh Laksanakan Operasi Pasar untuk Berantas Rokok Ilegal
Baca juga: Bea cukai gagalkan penyeludupan 86 kilogram sabu-sabu di Aceh
 Pewarta: M.Haris Setiady AgusEditor: Laode Masrafi				COPYRIGHT © ANTARA 2023
",hukum
"Ungkap penembakan 4 nelayan, Bidpropam Polda Sultra periksa 9 saksi","

 









								ANTARA - Polda Sulawesi Tenggara memeriksa sembilan saksi insiden penembakan empat orang nelayan yang terjadi pada Jumat 24 November lalu. Dari hasil pemeriksaan, kepolisian menahan Bripka A dan Bripka RP yang diduga sebagai pelaku penembakan, Senin (27/11). (Saharudin/Soni Namura/Hilary Pasulu)							
",hukum
Kapolri imbau jauhi provokasi terkait konflik di Bitung,"
				Jakarta (ANTARA) - Kepala Kepolisian Negara Republik Indonesia (Kapolri) Jenderal Polisi Listyo Sigit Prabowo mengimbau seluruh pihak untuk menjauhi provokasi berkaitan dengan konflik yang terjadi di Kota Bitung, Sulawesi Utara, Sabtu (25/11).

""Terkait provokasi-provokasi, kita minta untuk dijauhkan sehingga semangat yang terkait dengan apa yang disampaikan jangan membuat kemudian memecah belah kerukunan yang ada,"" kata Sigit di Jakarta, Senin.

Kapolri menuturkan bahwa sampai dengan hari ini, gubernur, panglima daerah militer (pangdam), kepala kepolisian daerah (kapolda), dan seluruh pemangku kepentingan terus mengimbau semua pihak agar peristiwa tersebut tidak terulang kembali

""Bersama-sama untuk mengimbau agar peristiwa yang terjadi tidak terulang lagi. Jadi, menjaga persatuan dan kesatuan,"" imbuh Kapolri.

Baca juga: Gus Yahya instruksikan warga NU ikut redakan ketegangan di Bitung

Bentrokan antarkelompok masyarakat terjadi di Bitung, Sulawesi Utara, pada Sabtu (25/11). Kapolda Sulawesi Utara Irjen Polisi Setyo Budiyanto menyebutkan bentrokan tersebut mengakibatkan satu korban meninggal dunia dan dua luka-luka.

Terdapat tujuh orang terduga pelaku yang sudah ditangkap, terdiri atas lima orang pelaku yang terkait dengan korban meninggal dan dua pelaku terkait korban yang mengalami luka-luka. Dari tujuh pelaku itu, satu orang usianya masih di bawah umur.

Namun begitu, Setyo Budiyanto menyebutkan kondisi Kota Bitung saat ini aman dan terkendali.

Baca juga: Menkominfo minta masyarakat tak terhasut hoaks terkait bentrok Bitung

""Kami sampaikan kepada seluruh masyarakat, khususnya yang ada di Kota Bitung dan umumnya masyarakat Sulut serta seluruh masyarakat Indonesia, sampai dengan malam ini situasi dan kondisi di wilayah Kota Bitung aman dan terkendali,"" katanya saat memberikan keterangan pers di Markas Polres Bitung, Minggu (26/11) malam.

Kapolda mengaku telah melakukan banyak kegiatan sejak pagi hingga malam ini, termasuk melakukan pertemuan dengan para tokoh agama, tokoh masyarakat dan komunitas, terkait penyelesaian masalah tersebut.

Kendati sudah aman dan terkendali, Kapolda menambahkan jajarannya masih akan terus melakukan patroli untuk memastikan keamanan kondusif.

""Termasuk kegiatan-kegiatan yang sifatnya statis di jalan atau tempat-tempat yang diperlukan pengamanan, ini menjadi prioritas kami semua,"" katanya.

Baca juga: Kapolda Sulut sebut kondisi Kota Bitung aman dan terkendali
Baca juga: Kemenag imbau tokoh agama-adat jaga kerukunan di Bitung-Sulut
Baca juga: MUI Manado harapkan aparat keamanan usut tuntas kasus BitungPewarta: Fath Putra MulyaEditor: Didik Kusbiantoro				COPYRIGHT © ANTARA 2023
",hukum
Kejari tahan Kadispora Gorontalo Utara,"
				Gorontalo (ANTARA) - Kejaksaan Negeri Gorontalo Utara (Kejari) Gorontalo Utara  menahan Kepala Dinas Pemuda dan Olahraga (Kadispora) setempat berinisial YE.
Kasi Intelijen Kejari Gorontalo Utara Eddie Soedradjat di Gorontalo, Senin mengatakan kasus tersebut dilimpahkan (tahap II) dari penyidik Polda Gorontalo kepada Jaksa Penuntut Umum.

Tersangka YE berada di ruang pemeriksaan gedung aula kantor Kejari di Kecamatan Kwandang sejak pukul 14.00 WITA.

Eddie mengatakan penyidik Polda melimpahkan tersangka YE serta barang bukti dalam perkara penipuan dan penggelapan.

Berkas perkara tersangka YE telah dinyatakan lengkap. Jaksa peneliti Kejaksaan Tinggi Gorontalo telah menyatakan penyerahan tahap II ini dilaksanakan di Kejaksaan Negeri Gorontalo Utara mengingat saksi-saksi dalam berkas perkara berdomisili di Kabupaten Gorontalo Utara.

Termasuk tersangka YE pun masih aktif sebagai Kepala Dinas Kepemudaan dan Olahraga di pemerintahan kabupaten tersebut.

Selain penyerahan tahap II tim penuntut umum melakukan penahanan di rumah tahanan (rutan) terhadap tersangka YE selama 20 hari terhitung mulai tanggal 27 November 2023 hingga 16 Desember 2023 dengan Surat Perintah Penahanan Kepala Kejaksaan Negeri Gorontalo Utara Nomor: 1194 Tanggal 27 November 2023.

Penahanan dilakukan oleh penuntut umum sebagai upaya untuk mencegah agar tersangka tidak melarikan diri, merusak atau menghilangkan barang bukti dan atau mengulangi tindak pidana serta segera mempercepat proses penyelesaian perkaranya.

Kasi Pidana Umum Andi Nirwansyah selaku tim penuntut umum mengatakan tersangka YE telah melakukan tipu gelap dengan modus meminjam uang sebanyak Rp271 juta kepada pelapor/korban untuk keperluan penanggulangan kegiatan Palang Merah Indonesia (PMI).

YE melakukan perjanjian dengan pemberi pinjaman akan dikembalikan setelah dana dari PMI itu cair tanggal 19 Mei 2019, namun hingga saat ini tersangka YE belum mengembalikan uang yang dipinjam dan selalu menjanjikan kepada pelapor dengan janji-janji yang belum ada realisasi penyelesaiannya.

Pelapor kemudian merasa keberatan dan melaporkan perbuatan tersangka YE ke Polda Gorontalo.

Perbuatan YE disangka melanggar Pasal 372 KUHP dan kedua Pasal 378 KUHP dengan ancaman maksimal empat tahun penjara.Pewarta: Susanti SakoEditor: Hisar Sitanggang				COPYRIGHT © ANTARA 2023
",hukum
"Firli ajukan praperadilan, ini sikap Kapolri dan Ketua KPK Sementara","

 









								ANTARA - Mantan Ketua Komisi Pemberantasan Korupsi (KPK) Firli Bahuri telah mengajukan permohonan praperadilan ke Pengadilan Negeri Jakarta Selatan terkait kasus dugaan pemerasan yang menyeretnya menjadi tersangka. Hal itu mendapat tanggapan dari Kapolri Jenderal Pol Listyo Sigit Prabowo dan Ketua KPK Sementara Nawawi Pomolango saat ditemui di Istana Negara, Jakarta, Senin (27/11). (Pradanna Tampi/Chairul Fajri/Nusantara Mulkan)							
",hukum
