Judul Artikel,Kalimat Artikel,Jenis Berita
"KJP Plus Tahap II 2023 Bulan November Cair, Intip Besaran Dananya!","Jakarta-Kabar gembira siswa! Dana program Kartu Jakarta Pintar (KJP) Plus Tahap II Tahun 2023 telah cair mulai tanggal 28 November 2023. ""Ada info penting yang harus kamu ketahui, yaitu pencairan dana KJP Plus Tahap II Tahun 2023 Gelombang I bulan November dilaksanakan secara bertahap mulai 28 November 2023,"" tulis unggahan akun Instagram @upt.p4op, dikutip pada Kamis (30/11/2023).Penerima KJP Plus Tahap 2 Bulan November 2023 ini ada sebanyak 576.263 orang. 226.400 siswa berasal dari jenjang SD/MI, 179.407 siswa SMP/MTs, 63.137 siswa SMA/MA, 105.583 siswa SMK, dan 1.736 siswa PKBM.ADVERTISEMENTSCROLL TO CONTINUE WITH CONTENTBaca juga:Cara Cek Status Pendaftaran DTKS buat Dapat KJP Plus 2023Baca juga:Sudin Pendidikan Jaksel: Seleksi Bansos KJP Plus DiperketatBesaran Dana KJP Plus Tahap II Tahun 2023SD/MIBiaya rutin: Rp 135 ribuBiaya berkala: Rp 115 ribuTambahan SPP untuk siswa sekolah swasta per bulan: Rp 130 ribuSMP/MTsBiaya rutin: Rp 185 ribuBiaya berkala: Rp 115 ribuTambahan SPP untuk siswa sekolah swasta per bulan: Rp 170 ribuSMA/MABiaya rutin: Rp 235 ribuBiaya berkala: Rp 185 ribuTambahan SPP untuk siswa sekolah swasta per bulan: Rp 290 ribuSMKBiaya rutin: Rp 235 ribuBiaya berkala: Rp 215 ribuTambahan SPP untuk siswa sekolah swasta per bulan: Rp 240 ribuPKBMBiaya rutin: Rp 185 ribuBiaya berkala: Rp 115 ribuBagi para penerima, perlu diingat bahwa biaya rutin hanya bisa digunakan secara tunai maksimal Rp 100.000 setiap bulannya. Adapun sisa biaya rutin dan berkala bisa digunakan secara nontunai setiap bulannya untuk dibelikan kebutuhan siswa.Cara Menggunakan KJP PlusBisa digunakan untuk belanja secara non tunai dengan cara tapping pada mesin EDC Bank DKI atau memakai Digital Payment JakOne Mobile siswa penerima KJPDana hanya bisa digunakan di toko resmi KJP Plus atau merchant yang sudah PKS dengan Bank DKI (ada 2.406 toko resmi mitra KJP Plus)Setiap merchant akan melaporkan item barang yang dibeli siswa kepada Bank DKIItulah informasi mengenai pencairan dana KJP Plus Tahap 2 Tahun 2023 Bulan November.",Edukasi
"4 Hewan Ini Terancam Lenyap dari Bumi Sebelum Tahun 2050, Ada Lumba-lumba","Jakarta-Keberlangsungan kehidupan hewan di Bumi berada dalam bahaya besar akibat perubahan iklim dan ulah manusia yang eksploitatif. Tanda bahaya ini, disebut oleh para ilmuwan sebagai ancaman kepunahan massal.Selama ini, para ilmuwan telah menemukan kepunahan massal lima kali dalam sejarah, termasuk kepunahan yang terjadi pada zaman dinosaurus. Kini, para ilmuwan sedang mempertimbangkan untuk potensi kepunahan massal yang keenam.Sebuah studi tahun 2022 dalam jurnalNature, menunjukkan bahwa 40 persen amfibi, 25 persen mamalia, 21 persen reptil, 13 persen burung menghadapi ancaman kepunahan. Perubahan iklim menjadi salah satu pemicu utama.ADVERTISEMENTSCROLL TO CONTINUE WITH CONTENTBaca juga:Ilmuwan Ungkap Penyebab Dinosaurus Punah, Ternyata Gara-gara IniBaca juga:Perubahan Iklim Ubah Gaya Hidup Cheetah, Jadi Aktif di Malam HariKehidupan Hewan Hilang Akibat Iklim dan ManusiaSelain itu, studi yang diterbitkan dalamGlobal Change Biologypada bulan Mei 2023 menyebutkan bahwa dalam satu abad terakhir, telah terjadi percepatan kehilangan kehidupan hewan.Hewan kehilangan habitatnya akibat penggundulan hutan, penyakit, kebakaran, dan banjir. Akibatnya beberapa tak mampu bertahan dengan perubahan iklim yang semakin panas.Meskipun konservasi turut mengambil andil dalam merespon ancaman kepunahan ini, tentu masih banyak hewan-hewan yang masuk dalam daftar spesies terancam punah.Namun, dari banyaknya hewan tersebut, beberapa hewan dikatakan akan punah sebelum 2050.",Edukasi
"Kisah Whale 52, Paus Paling Kesepian di Dunia","Jakarta-Apakah detikers sering merasa kesepian? Mungkin hal itu sudah biasa dialami manusia. Tapi tahukah kamu bahwa ada hewan yang memiliki predikat sebagai mamalia paling kesepian di dunia.Mamalia tersebut adalah paus Whale 52 atau Whalien 52. Julukan sebagai paus paling kesepian di dunia bagi Whale 52 ini tentu bukan tanpa alasan yang menjadi penyebabnya.Jika detikers ingin tahu mengapa Whale 52 menjadi paus paling kesepian, simak kisah hidupnya berikut ini.ADVERTISEMENTSCROLL TO CONTINUE WITH CONTENTBaca juga:Kisah Kiska, Paus Orca Paling Kesepian di Dunia yang Mati pada Usia 47 TahunBaca juga:Benarkah Hiu Bakal Mati Jika Berhenti Berenang? Ini FaktanyaApa Itu Whale 52?Pada tahun 1989, seorang peneliti biota laut dari Woods Hole Oceanographic Institution (WHOI), bernama William Watkins pertama kali menemukan keberadaan paus Whale 52 ini.Ia berhasil menemukannya setelah mendeteksi suara misterius di tengah Samudra Pasifik dengan frekuensi 52 Hertz, sebagaimana dilansir dari situs Kemenkeu.Frekuensi suara tersebut ternyata berbeda dengan suara paus pada umumnya yang hanya berkisar 12 sampai 25 Hertz.",Edukasi
"Robot AI Ini Bisa Buat Oksigen di Mars, Astronaut Tak Perlu Khawatir Lagi","Jakarta-Manusia yang melakukan perjalanan ke ruang angkasa perlu oksigen untuk bernapas dan pulang ke Bumi. Namun, astronaut sepertinya sudah tidak perlu khawatir lagi akan kehabisan oksigen di Mars.Kini, tim ilmuwan merancang robot yang dapat mengekstraksi oksigen dari air di Mars. Inovasi ini dilaporkan peneliti dalam jurnalNature Synthesis.Baca juga:Astronom Berhasil Deteksi Oksigen di Venus, Apakah Sama dengan di Bumi?Baca juga:Warna Langit di Mars Hijau saat Malam Hari, Ilmuwan Ungkap Studi TerbaruRobot AI Penghasil OksigenRobot tersebut dikenal sebagai ahli kimia AI. Robot AI ini menggunakan model pembelajaran mesin untuk menemukan senyawa yang dapat memicu reaksi kimia penghasil oksigen di Mars.ADVERTISEMENTSCROLL TO CONTINUE WITH CONTENTSenyawa tersebut dikenal sebagai katalis yang seluruhnya terbuat dari unsur-unsur yang ditemukan dalam meteorit Mars. Jika sistem dapat bekerja dengan baik, maka penjelajah di luar angkasa tidak perlu membawa oksigen, sebagaimana dilansir dari laman Smithsonian Magazine.",Edukasi
"6 Cara Buat Konten Berkualitas Ramai Engagement, Mahasiswa-Kreator Konten Cek Nih","Jakarta-Kreator konten bisa jadi pekerjaan pilihan mahasiswa. Selain mengasah keterampilan, mahasiswa juga bisa membagikan ilmu yang didapat selama di bangku kuliah.Hanya saja kreator konten perlu untuk membuat konten yang berkualitas. Di era digital ini, konten yang berkualitas menjadi kunci bagi kreator konten ataupun konten untuk dapat menaikkan trafik atau penonton dalam sebuah platform media sosial.Baca juga:PKL Ditjen Diktiristek Batch 15 Dibuka, Ini Posisi yang TersediaBaca juga:5 Tips Dasar Public Speaking untuk Guru, Fokus Satu Ide-Masalah BahasaLalu apa saja yang perlu diperhatikan agar konten yang dibuat menjadi konten yang berkualitas? Dosen Desain Komunikasi Visual (DKV) UM Surabaya Musayyidatul Ummah membagikan enam tips berikut.ADVERTISEMENTSCROLL TO CONTINUE WITH CONTENT6 Cara Buat Konten Berkualitas dan Ramai Engagement1. RisetHal utama sebelum mulai membuat konten adalah menemukan gagasan konten yang tepat agar dapat diingat oleh audiens.",Edukasi
"Studi: Anak Ogah Ambil Risiko untuk Belajar, Jika Ortu Kurang Dapat Diandalkan","Jakarta-Mencoba sesuatu yang baru adalah risiko yang biasa dilakukan anak-anak saat mereka bereksplorasi. Meskipun bisa jadi memakan banyak biaya, risiko juga bisa membuahkan hasil ataupun pengetahuan.Sayangnya, sebuah penelitian terbaru menunjukkan bahwa anak-anak yang tidak mendapat dukungan dari orang dewasa dalam kehidupannya, akan tidak cukup berkeinginan mengambil risiko dan mendapatkan manfaatnya. ""Jika Anda berada di lingkungan yang kaya sumber daya, yang artinya aman seperti, makanan tersedia, ada seseorang di rumah untuk Anda, dan dikelilingi oleh orang dewasa yang melindungi Anda, maka Anda akan mencoba hal-hal baru,"" kata Seth Pollak, profesor di University of Wisconsin-Madison, Amerika Serikat.ADVERTISEMENTSCROLL TO CONTINUE WITH CONTENT""Jadi, kami pikir, untuk memiliki kepercayaan diri untuk mencoba sesuatu yang baru, Anda harus merasa didukung dan relatif aman,"" kata dia, dikutip dari Science Daily.Kesimpulan Pollak diambil dari studinya terhadap lebih dari 150 anak usia 10 hingga 13 tahun saat bermain game yang dirancang oleh C Shawn Green, seorang profesor psikologi UW-Madison. Permainan ini menawarkan peluang kepada anak-anak untuk sedikit mengambil risiko dan mengeksplorasi potensi keuntungan.Anak-anak dan orang tua mereka juga ikut dalam serangkaian survei dan penilaian. Para peneliti mengukur stres yang dialami anak-anak dan prediktabilitas kehidupan mereka berdasarkan faktor-faktor seperti orang tua yang kehilangan pekerjaan, perceraian, kematian atau penyakit dalam keluarga, dan pindah sekolah atau rumah.",Edukasi
Politeknik Keuangan Negara STAN: Pilihan Prodi hingga Gaji Lulusannya,"Daftar IsiProdi PKN STANGaji Lulusan STANJakarta-Politeknik Keuangan Negara Sekolah Tinggi Akuntansi Negara (PKN STAN) adalah salah satu sekolah kedinasan yang menjadi langganan pilihan para lulusan jenjang SMA/sederajat. Tak hanya gratis biaya kuliah, mahasiswa STAN berkesempatan untuk langsung diangkat menjadi CPNS setelah lulus.Lulusan PKN STAN nantinya akan ditempatkan di lingkungan Kementerian Keuangan RI maupun instansi pemerintah lainnya dan pemerintah daerah sesuai dengan formasi yang tersedia.Beberapa fasilitas yang disediakan bagi mahasiswa STAN adalah asrama pada tahun pertama. Sementara itu, mahasiswa afirmasi akan tinggal di asrama pada tahun pertama dan kedua. Dikutip dari situs resmi, ketentuan tersebut dapat berubah sesuai kebijakan Kementerian Keuangan RI.ADVERTISEMENTSCROLL TO CONTINUE WITH CONTENTLantas, apa saja prodi hingga berapa gaji untuk para lulusan STAN?Baca juga:Syarat Masuk PKN STAN, Pelajari Yuk!Prodi PKN STANPada penerimaan mahasiswa baru 2023, STAN hanya menawarkan 3 program studi saja melalui sistem seleksi sekolah kedinasan, yaitu:Diploma IV akuntansi sektor publikDiploma IV manajemen keuangan negaraDiploma IV manajemen aset publik.Pada SPMB STAN 2023, peserta diharuskan memiliki nilai UTBK Seleksi Nasional Berbasis Tes. Peserta jalur reguler atau afirmasi tidak dapat mengikuti SPMB STAN karena nilai SNBT merupakan syarat.",Edukasi
"Bimbel STAN NewtonSix, Rahasia Sukses Lulus Sekolah Kedinasan","Jakarta-Dalam menghadapi ujian PKN STAN, dibutuhkan trik dan cara cepat mengingat dengan waktu yang terbatas. Dengan hanya 110 menit untuk mengerjakan 100 soal, strategi efektif menjadi kunci utama keberhasilan untuk menjawab atau menyelesaikan berbagai macam soal dalam ujian tersebut. Karena itu, dibutuhkan pelatihan atau bimbingan belajar dalam menghadapi Ujian PKN STAN agar mempermudah kita untuk bisa masuk dan diterima di sekolah kedinasanPKN STAN.UjianSeleksi Masuk(PKN) STAN merupakan tahapan krusial bagi para calonMahasiswa sekolah kedinasan. Sebagai ujian yang menguji pemahaman tentangwawasan kebangsaandankemampuan akademik, ujian ini memiliki peran penting dalam memastikan calon pegawai siap memasuki dunia birokrasi. Maka dari itu, demi melancarkan proses ujian tersebut dibutuhkan sebuah persiapan khusus untuk menghadapi berbagai soal ujian yang diberikan.Soal ujian memang selalu menjadi sesuatu yang menakutkan bagi sebagian orang, termasuk salah satunya adalah ujian untuk bisa masuk sekolah kedinasan.",Edukasi
"Jadwal PMB Program Pascasarjana ITB Beserta Biaya Pendidikannya, Catat!","Jakarta-Institut Teknologi Bandung (ITB) kembali membuka penerimaan mahasiswa baru (PMB) program Pascasarjana S2 dan S3 semester genap tahun 2023/2024. Ada tiga gelombang yang dibuka pada penerimaan ini hingga akhir tahun 2023.Gelombang pertama sudah berakhir sejak 25 Oktober 2023 lalu. Kini, pendaftaran memasuki gelombang kedua dan akan berakhir pada tanggal 29 November di laman https://admission.itb.ac.id/registration/pascasarjana dengan biaya pendafatran sebesar Rp 600 ribu.Namun untuk pelamar program Doktor di Sekolah Bisnis dan Manajemen ITB sebesar Rp 750 ribu. Biaya ini termasuk pelaksanaan tes psikologi.ADVERTISEMENTSCROLL TO CONTINUE WITH CONTENTCalon mahasiswa baru pascasarjana nantinya akan melalui tiga tahapan seleksi. Dari seleksi kelengkapan dokumen, seleksi lolos nilai minimum UPDA ITB/TPA Bappenas dan nilai minimum ELPT ITB serta seleksi kemampuan akademik.Untuk itu, yuk simak seluruh jadwal pendaftaran program Pascasarjana ITB beserta dengan biaya pendidikannya dikutip dari situs resminya, Senin (13/11/2023).Baca juga:9 Universitas Terbaik di Luar Jawa Versi QS AUR 2024, Ada Kampus Idamanmu?Jadwal Pendaftaran Pascasarjana S2-S3 ITBGelombang 2Pendaftaran peserta: 1-29 November 2023 pukul 15.00 WIBSeleksi di program studi: 1-11 Desember 2023Jadwal tes ELPT: 14 November 2023 untuk pendaftaran dari tanggal 1-10 November 2023 - 4 Desember 2023 untuk pendaftaran dari tanggal 11-29 November 2023Jadwal tes UPDA: 22 November 2023Pengumuman hasil seleksi: 14 Desember 2023 pukul 17.00 WIBPendaftaran ulang: 14-27 Desember 2023Pembayaran biaya pendidikan: 2-10 Januari 2024Perwalian: 24-30 Januari 2024Penyambutan mahasiswa baru: 2 Februari 2024Perkuliahan: 5 Februari 2024Baca juga:Lulus dari ITB dengan IPK 3,98, Ini Kisah Abrar si Putra Daerah Aceh yang Jadi 'Sultan'Gelombang 3Pendaftaran peserta: 6-27 Desember 2023 pukul 15.00 WIBSeleksi di program studi: 2-8 Januari 2024Jadwal tes ELPT: 13 Desember 2023 untuk pendaftaran dari tanggal 6-10 Desember 2023 - 3 Januari 2024 untuk pendaftaran dari tanggal 11-27 Desember 2023 2023Jadwal tes UPDA: 20 Desember 2023Pengumuman hasil seleksi: 11 Januari 2024 pukul 17.00 WIBPendaftaran ulang: 11-18 Januari 2024Pembayaran biaya pendidikan: 23-29 Januari 2024Perwalian: 24-30 Januari 2024Penyambutan mahasiswa baru: 2 Februari 2024Perkuliahan: 5 Februari 2024Baca juga:8 Universitas Terbaik di Jawa Barat Versi QS AUR 2024, Ada Kampusmu?Biaya Kuliah Pascasarjana ITBProgram Magister S2Biaya Penyelenggaraan Pendidikan (BPP) Program Magister pada Fakultas/Sekolah selain Sekolah Bisnis dan Manajemen (SBM)Magister: Rp 13.500.000,00Khusus Magister Farmasi Industri: Rp 22.000.000,00Kelas Internasional: Rp 35.000.000,00BPP Program Magister pada Sekolah Bisnis dan Manajemen (SBM): Rp 13.500.000,00 - Rp 40.000.000,00Baca juga:Kisah Enuh, Lulusan ITB yang Ditemukan MenggelandangProgram Doktor S3Biaya Penyelenggaraan Pendidikan (BPP) Program Magister pada Fakultas/Sekolah selain Sekolah Bisnis dan Manajemen (SBM)Program Doktor: Rp 15.000.000,00Khusus Program Doktor SBM-Kelas Reguler: Rp 25.000.000,00Khusus Program Doktor SBM-Kelas Non Reguler: Rp 41.000.000,00Informasi pendaftaran S2 ITB dapat detikers cek di https://admission.itb.ac.id/home/pascasarjana/magister.",Edukasi
"Pendaftaran Universitas Terbuka Semester Genap Tahun 2023/2024, Catat Jadwalnya!","Jakarta-Universitas Terbuka (UT) kembali membuka pendaftaran untuk mahasiswa baru semester genap tahun 2023/2024 sejak tanggal 3 November 2023. Ada dua jalur yang tersedia yakni jalur umum yang dibuka hingga tanggal 20 Februari 2024 dan jalur rekognisi pembelajaran lampau (RPL) hingga 31 Januari 2024.Pendafatran dilakukan secara daring melalui lamanhttps://sia.ut.ac.id/dengan biaya admisi sebesar Rp 100 ribu. UT memiliki dua program Diploma D3 dan D4 dan 32 Program Sarjana (S1) yang tersebar ke dalam 4 fakultas.Apa saja dan bagaimana cara mendaftarnya? Yuk simak penjelasan selengkapnya dikutip dari laman resmi UT, Jumat (10/11/2023).ADVERTISEMENTSCROLL TO CONTINUE WITH CONTENTBaca juga:Mengenal Prodi D4 Manajemen Industri Jasa Makanan, Cocok untuk yang Hobi Kulineran!Program Studi Universitas Terbuka Sarjana dan Diploma1. Fakultas Keguruan dan Ilmu Pendidikan (FKIP)Pendidikan Bahasa dan Sastra IndonesiaPendidikan Bahasa InggrisPendidikan BiologiPendidikan FisikaPendidikan KimiaPendidikan MatematikaPendidikan EkonomiPendidikan Pancasila dan KewarganegaraanTeknologi PendidikanPendidikan Guru Sekolah Dasar (PGSD)Pendidikan Guru Pendidikan Anak Usia Dini (PGPAUD)Program Pendidikan Profesi Guru (PPG)2.",Edukasi
"30 Kampus Terbaik di Pimnas ke-36, UGM Juara Umum","Jakarta-Universitas Gadjah Mada menjadi juara umum Pekan Ilmiah Mahasiswa Nasional (Pimnas) ke-36. Atas perolehan 26 medalinya, UGM dianugerahi Penghargaan Piala Adikarta Kertawidya di Penutupan & Penganugerahan Pimnas ke-36 Tahun 2023 di Universitas Padjajaran, Jatinangor, Kamis (30/11/2023) malam.Pimnas adalah kompetisi mahasiswa nasional tahunan dari Balai Pengembangan Talenta Indonesia, Pusat Prestasi Nasional Kemendikbudristek. Tahun ini, ajang kreativitas dan intelektual mahasiswa ini menggandeng Unpad sebagai tuan rumah, seperti dilansirKanal Media Unpad.Pimnas ke-36 mempertandingkan Pekan Kreativitas Mahasiswa (PKM) Gagasan Futuristik Tertulis, PKM Kewirausahaan, PKM Karsa Cipta, PKM Karya Inovatif, PKM Penerapan Iptek, PKM Pengabdian Masyarakat, PKM Riset Eksakta, PKM Riset Sosial Humaniora, dan PKM Video Gagasan Konstruktif.ADVERTISEMENTSCROLL TO CONTINUE WITH CONTENT2.411 Mahasiswa di 525 kelompok terpilih di Pimnas ke-36. Para mahasiswa dari berbagai kampus dinilai oleh 77 juri tahun ini.Baca juga:2.419 Mahasiswa Bersaing di Pekan Ilmiah Mahasiswa Nasional ke-36Baca juga:6 Karya Ini Bisa Dijadikan Tugas Akhir Pengganti Skripsi, Apa Saja?UGM Juara Umum Pimnas ke-36Para mahasiswa UGM memperoleh 26 medali yang meliputi, 10 emas, 7 perak, dan 9 perunggu. Capaian ini membuat UGM kembali membawa pulang piala bergilir juara umum Pimnas.",Edukasi
"Universitas Harvard Buka Mata Kuliah Taylor Swift, Ini yang Dipelajari","Jakarta-Universitas Harvard membuka mata kuliah unik yang akan mempelajari seputar penyanyi Taylor Swift. Kelas ini ditawarkan oleh Departemen Bahasa Inggris Harvard untuk perkuliahan musim semi 2024.Pengajar kelas ini adalah Stephanie Burt, yang juga merupakan seorang Swiftie fanatik. Ia mengatakan secara spesifik kelas ini diberi nama ""Taylor Swift and Her World"". ""Saya ingin mengajar mata kuliah khusus. Namun saya tidak ingin hanya mengajar mata kuliah khusus,"" katanya laman resmi Harvard, dikutip pada Jumat (1/12/2023).ADVERTISEMENTSCROLL TO CONTINUE WITH CONTENTBaca juga:5 Universitas Ini Buka Mata Kuliah Taylor Swift, Belajar Apa Saja?Ia menuturkan kelas mata kuliah Taylor Swift ini dibuka karena melihat betapa fenomenalnya penyanyi wanita tersebut.",Edukasi
"UIN Walisongo Kukuhkan 15 Guru Besar Serentak, Kini Punya 39 Profesor","Jakarta-Berbeda dari biasanya, Universitas Islam Negeri (UIN) Walisongo Semarang baru saja mengukuhkan sebanyak 15 guru besar secara serentak pada Kamis (30/11/2023) di Gedung Prof Tgk Ismail Yaqub, kampus UIN Walisongo.Pengukuhan guru besar dipimpin Plt Rektor UIN Walisongo, Prof Dr Nizar Ali MAg. Prosesi pengukuhan disaksikan Prof Dr Hamdan Said dari Universitas Teknologi Malaysia, Maha Guru Besar Prof Dr Irwan Abdullah, Rektor Universitas Negeri Unnes Prof Dr S Martono MSi, Rektor IAIN Kudus Prof Dr H Abdurrohman Kasdi Lc MSi, Rektor UIN KH Abdurrahman Wahid (Gus Dur) Prof Dr H Zaenal Mustakim MAg, dan Rektor Universitas Dian Nuswantoro (Udinus) Prod Dr Edi Noer Sasongko MKom.Total guru besar UIN Walisongo kini sebanyak 39 orang dari ilmu psikologi hingga ilmu tafsir. Nizar yang juga Sekretaris Jenderal Kementerian Agama RI berharap guru besar dapat berdampak besar besar bagi UIN Walisongo agar mempunyai daya saing nasional maupun internasional.ADVERTISEMENTSCROLL TO CONTINUE WITH CONTENTBaca juga:UIN Jakarta Kukuhkan 42 Guru Besar Baru, Jadi PTKIN dengan Profesor TerbanyakBaca juga:UIN Walisongo dan Soegijapranata Catholic University Teken Kerja Sama, soal Apa?Orasi ilmiah para guru besar menyoal pembahasan bertajuk ""Dari Cendekiawan Untuk Kemanusiaan dan Peradaban"". Guru besar UIN Walisongo diharapkan memperkuat visi kampus, yakni Universitas Islam Riset Terdepan Berbasis Unity of Sciences untuk Kemanusiaan dan Peradaban Tahun 2023. ""Guru Besar menjadi pilar utama perjalanan akademis, keberhasilan mereka diharapkan menjadi inspirasi dalam mengembangkan ilmu pengetahuan,"" kata Nizar dalam keterangan resmi kampus, dikutip Jumat (1/12/2023).",Edukasi
"Studi: Selera Musik Mampu Prediksi Moral Kamu, Begini Penjelasannya","Jakarta-Sebuah studi dari mengungkap bahwa selera musik seseorang bisa mencerminkan moralnya. Temuan tim ilmuwan dari Queen Mary University of London dan ISI Foundation di Turin, Italia ini berangkat dari analisis lirik dan fitur audio lagu untuk mengungkap hubungan antara musik dengan moralitas seseorang. ""Studi kami memberikan bukti kuat bahwa preferensi musik dapat berfungsi sebagai jendela menuju nilai-nilai moral seseorang,"" kata Dr Charalampos Saitis dari Queen Mary University of London, dikutip dari laman resmi kampus.Baca juga:Dengar Musik Favorit Bisa Kurangi Rasa Sakit, Sudah Coba?Baca juga:Kisah Dedi, Pernah Nyanyi di Istana hingga Dapat Beasiswa LPDP ke SkotlandiaSurvei Selera MusikPenelitian ini melibatkan 1.400 peserta untuk menyelesaikan sebuah kuesioner psikometri. Tes tersebut digunakan untuk menilai nilai moral, mengetahui musisi favorit, dan mengenal selera musik para responden melalui like atau fitur suka di Facebook.ADVERTISEMENTSCROLL TO CONTINUE WITH CONTENTPara peneliti kemudian mengekstrak fitur audio dan lirik dari lima lagu teratas pilihan masing-masing peserta. Mereka menggunakan algoritma ML untuk memprediksi nilai moral para peserta.Sejumlah teknik pemrosesan teks, termasuk metode berbasis leksikon dan penyematan BERT, digunakan untuk menganalisis narasi, nilai moral, sentimen, dan emosi dalam lirik.",Edukasi
"Siswa Bisa Jadi Peneliti, Ilmuwan BRIN: Ini Syarat & Keuntungannya","Jakarta-Budaya meneliti bisa dimulai pada level sekolah dan dilakukan para siswa. Hal ini diungkapkan Kepala Pusat Riset Pendidikan Badan Riset dan Inovasi Nasional (BRIN), Trina Fizzanty. ""Budaya meneliti bisa dilakukan di tingkat sekolah. Riset tak harus dilakukan pada level kelembagaan,"" ujar Trina dalam diskusi bertema ""Penguatan Budaya Meneliti di Tingkat Sekolah"", Rabu (29/11/2023), dikutip dari rilis laman BRIN.Selaras dengan hal ini, peneliti Pusat Riset Pendidikan, Janu Arlinwibowo mengatakan, objek untuk penelitian siswa bisa berupa segala hal yang ada di sekitarnya.ADVERTISEMENTSCROLL TO CONTINUE WITH CONTENTMelalui pemaparan isi bukunya yang bertajuk ""Menjadi Siswa Peneliti"", Janu menjelaskan bahwa siswa peneliti adalah siswa yang mampu melakukan riset secara terukur sesuai dengan talenta yang dimiliki.Syarat Jadi Siswa PenelitiJanu menyampaikan, syarat menjadi peneliti adalah didasari kemauan, ide yang dapat diwujudkan sesuai talenta, bakat, usaha, dan lainnya. Dia menyebut siswa pada umumnya tidak diminta untuk wajib memiliki fasilitas laboratorium.",Edukasi
Misi Ganjar-Mahfud: Wajib Belajar 12 Tahun Gratis-1 Keluarga Miskin 1 Sarjana,"Daftar IsiVisi Misi Ganjar-Mahfud Md dalam PendidikanÃ‚Mempercepat Pembangunan Manusia Indonesia Unggul yang Berkualitas, Produktif, dan BerkepribadianÃ‚Pendidikan Berkualitas dan MerataÃ‚Mempercepat Penguasaan Sains dan Teknologi Melalui Percepatan Riset dan Inovasi (R & I) BerdikariÃ‚Lompatan Menjemput KemajuanÃ‚Jakarta-Hari ini, Selasa (28/11/2023) ketiga pasangan capres-cawapres memulai kampanye. Paslon urutan 1 melakukan kampanye di dua tempat terpisah, Anies di Jakarta dan Cak Imin di Surabaya.Kemudian, pasangan capres-cawapres Prabowo-Gibran melakukan kampanye di Jabodetabek. Sementara, berbeda dari kedua pasangan sebelumnya, Ganjar dan Mahfud Md melakukan kampanye di wilayah terjauh Indonesia. Ganjar memulai kampanye di Papua, sedangkan Mahfud Md di Aceh.Paslon nomor urut 3 itu memiliki visi misi yang tertuang dalam dokumen setebal 33 halaman. Visi ganjar-Mahfud disebutkan dalam halaman 11 yang berbunyi ""Menuju Indonesia Unggul Gerak Cepat Mewujudkan Negara Maritim yang Adil dan Lestari"".ADVERTISEMENTSCROLL TO CONTINUE WITH CONTENTVisi Ganjar-Mahfud Md di atas turut ditunjang dengan 8 misi yang dinamakan 8 Gerak Cepat Ganjar Pranowo & Mahfud Md.",Edukasi
Misi Anies-Cak Imin: Peningkatan Daya Tampung Sekolah-Uang Kuliah Terjangkau,"Jakarta-Kampanye Pemilu 2024 dimulai hari, Selasa (28/11/2023). Para pasangan capres-cawapres, Anies Baswedan-Cak Imin, Prabowo Subianto-Gibran Rakabuming, dan Ganjar Pranowo-Mahfud Md memulai kampanye di titik-titik yang berbeda.Paslon urutan 1, Anies-Cak Imin memulai kampanye di dua titik berbeda. Anies memulai kampanye di Jakarta, sedangkan Cak Imin di Surabaya.Kemudian, paslon urutan 2, Prabowo-Gibran memulai kampanye di Jabodetabek. Sementara paslon urutan 3, Ganjar-Mahfud juga memulai kampanye di dua titik berbeda, di wilayah terjauh Indonesia. Ganjar memulai kampanye di Papua dan Mahfud Md di Aceh.ADVERTISEMENTSCROLL TO CONTINUE WITH CONTENTSebelumnya, para pasangan capres-cawapres telah menyerahkan visi-misi ke KPU.",Edukasi
Mendikbud Nadiem: Yakin Merdeka Belajar Berlanjut Meski Ganti Kepemimpinan,"Jakarta-Menteri Pendidikan, Kebudayaan, Riset dan Teknologi (Mendikbudristek) Nadiem Makarim yakin gerakan Merdeka Belajar berlanjut meski ganti kepemimpinan. Kurikulum Merdeka juga sudah diterapkan di 80% sekolah di Indonesia. ""Pak Jokowi, tahun ini Merdeka Belajar sudah 4 tahun, akhirnya kami bisa undang 7.500 guru ke Jakarta rayakan Hari Guru Nasional. Ibu-Bapak guru Indonesia yang hadir daring teman-teman di luar pulau, membersamai kami semua di sini. Ibu dan Bapak Guru, hari ini semakin yakin bahwa gerakan Merdeka Belajar akan berumur panjang, akan terus berlanjut meskipun sudah ganti kepemimpinan, benar tidak?""",Edukasi
Jangan Kalap! Ini 4 Tips Makan Sehat di Pesta Kawinan,"Jakarta-Saat datang ke pesta pernikahan, jamuan makan tak dilewatkan oleh tamu undangan. Agar makan tidak kalap, perhatikan beberapa tips makan sehat ini.Jamuan makan menjadi salah satu yang paling diperhatikan oleh pasangan pengantin di hari bahagia mereka. Hal ini dilakukan agar para tamu turut merasakan bahagia.Biasanya pasangan pengantin akan menyediakan jamuan makan dalam bentuk prasmanan. Beberapa gubuk makanan juga disiapkan untuk hidangan pelengkap.ADVERTISEMENTSCROLL TO CONTINUE WITH CONTENTPara tamu undangan biasanya langsung mengantre ke beberapa gubuk makanan yang menunya istimewa. Seperti menu kambing guling, dim sum, zuppa soup, dan lainnya.",Food
