Judul,penulis,Dosen Pembimbing I,Dosen Pembimbing II,abstrak
"PENGARUH MODEL PEMBELAJARAN CHILDREN LEARNING
IN SCIENCE (CLIS) TERHADAP HASIL BELAJAR IPA
SISWA KELAS IV SDN BANCARAN 4 BANGKALAN",Penulis : ERIK HARIYATMI,"Badrud Tamam, S.Si., M.Pd.,","M. Busyro Karim, S.Ag., M.Si.,","Pembelajaran IPA lebih menekankan pemberian pengalaman langsung kepada siswa untuk mengembangkan kompetensi agar dapat memahami alam secara ilmiah. Oleh karena itu diperlukan suatu model pembelajaran agar siswa tertarik dan berperan aktif dalam proses pembelajaran. Tujuan penelitian ini adalah untuk: (1) Untuk mengetahui bagaimana keterlaksanaan pembelajaran IPA SD menggunakan model CLIS, (2) Untuk mengetahui bagaimana respon siswa setelah menggunakan model CLIS, (3) Untuk mengetahui bagaimana pengaruh model pembelajaran CLIS terhadap hasil belajar IPA siswa SD Kelas IV. Penelitian ini merupakan penelitian kuantitatif dengan metode True Eksperimen. Populasi penelitian ini adalah semua siswa kelas IV SDN Bancaran 4 Bangkalan yang berjumlah 42 siswa, sedangkan sampel penelitian ini merupakan sampel jenuh. Instrumen yang digunakan adalah soal tes hasil belajar yang berupa pretest dan posttest, lembar pengamatan terhadap guru dan siswa, angket respon siswa. Analisis data yang digunakan yaitu uji normalitas, uji homogenitas, uji t, dan uji gain ternormalisasi. Pengujian hipotesis penelitian ini menggunakan uji-t dengan hasil thitung = 4,46 > ttabel = 2,02, sehingga dapat disimpulkan bahwa ada pengaruh model pembelajaran Children Learning In Science (CLIS) terhadap hasil belajar IPA siswa kelas IV. Hal tersebut juga dibuktikan dari peningkatan hasil belajar kelas eksperimen sebesar 0,70 dengan kategori tinggi."
PENGARUH PEMBELAJARAN MATEMATIKA DENGAN MODEL PROBLEM BASED LEARNING TERHADAP KETERAMPILAN BERPIKIR KRITIS  SISWA KELAS V DI SDN KRATON 2 BANGKALAN,Penulis : Imami Kholifatul Jannah,"Ariesta Kartika Sari, S.Si., M.Pd.","Mujtahidin, S.Pd., M.Pd.","Penelitian ini bertujuan untuk mengetahui pengaruh pembelajaran matematika dengan model Problem Based Learning terhadap keterampilan berfikir kritis siswa, deskripsi keterampilan berpikir kritis siswa kelas V di SDN Kraton 2 Bangkalan selama pembelajaran matematika dengan model Problem Based Learning ditinjau dari aktivitas belajar siswa, dan keterlaksanaan pembelajaran matematika dengan model Problem Based Learning. Pendekatan penelitian yang digunakan yaitu pendekatan kuantitatif-eksperimen dengan desain penelitian pretest-posttest control group design. Sampel dipilih dengan menggunakan teknik simple random sampling. Pengumpulan data dilakukan dengan metode tes dan observasi. Adapun hasil penelitian menunjukkan bahwa: (1) Ada pengaruh yang signifikan pada penerapan pembelajaran matematika dengan model problem based leaning (PBL) terhadap keterampilan berpikir kritis siswa kelas V di SDN Kraton 2 Bangkalan. Hal ini dibuktikan dengan hasil uji-t dengan taraf signifikan (?) = 0,025 dan n = 16-1 = 15 sebesar thitung = 2,881 dan ttabel = 2,145. (2) Ditinjau dari aktivitas siswa diperoleh hasil bahwa rata-rata keterampilan berpikir kritis siswa pada kelompok eksperimen memperoleh presentase  sebesar 75,5% dan kelompok kontrol sebesar 42,5% (3) Pelaksanaan pembelajaran matematika pada kelompok eksperimen dan kontrol dikatakan berhasil dilaksanakan oleh peneliti dengan sangat baik dengan persentase rata-rata yang diperoleh yaitu 99,45% untuk kelompok eksperimen dan 97,65% untuk kelompok kontrol. 

Kata Kunci : model problem based learning, keterampilan berpikir kritis,aktivitas siswa"
Gambaran Kecanduan Bermain Game Online pada Siswa Kelas V SD Negeri Bancaran 1 Bangkalan,Penulis : CHOIRIYAH,"Priyono Tri Febrianto, S.Sos., M.Si","Moh Edy Nurtamam, S.Pd., M.Si","Choiriyah. 2016. Gambaran Kecanduan Bermain Game online pada Siswa Kelas V SD Negeri Bancaran 1 Bangkalan. Skripsi, Program Studi Pendidikan Guru Sekolah Dasar, Fakultas Ilmu Pendidikan, Universitas Trunojoyo Madura. Pembimbing I: Priyono Tri Febrianto, S.Sos.,M.Si, Pembimbing II: Moh Edy Nurtamam, S.Pd.,M.Si.


                                          ABSTRAK

Penelitian ini bertujuan untuk mengetahui gambaran kecanduan bermain Game online dan jenis perilaku kecanduan bermain Game online pada siswa kelas V SDN Bancaran 1 Bangkalan. Penelitian ini menggunakan metode kualitatif deskriptif. Teknik pengumpulan data yang digunakan yaitu observasi, wawancara, dokumentasi. Teknik yang digunakan purposive sampling. Berdasarkan hasil penelitian dapat disimpulkan game online berdampak pada psikis anak yaitu anak merasakan cemas jika tidak bermain game online, anak selalu ingin bermain game secara terus-menerus yang mengakibatkan seorang anak malas untuk melakukan aktivitas lainnya, terhadap prestasi akademik yaitu seorang anak tidak memperdulikan kewajibannya mengerjakan tugas pekerjaan rumah, intensitas berkurang yang menyebabkan nilai prestasi menurun. Terhadap kesehatan fisik siswa yaitu akan mengalami gangguan kesehatan, pola makan dan tidur yang tidak teratur menyebabkan anak sulit berkonsentrasi disekolah. Jenis perilaku kecanduan game online yang menonjol pada siswa yaitu salience, euphoria dan Tolerance.

 Kata kunci: Game online, bermain Game online.

"
"PENGARUH MODEL PEMBELAJARAN KOOPERATIF
TIPE PAIR CHECKS TERHADAP HASIL BELAJAR KOGNITIF
MATA PELAJARAN IPA SISWA KELAS V MATERI DAUR AIR
DI SDN PANGPONG",Penulis : SULFIYA OKTAFIA NINGSIH,"Badrud Tamam, S.Si ., M.Pd.","Wanda Ramansyah, S.Pd., M.Pd","Berdasarkan hasil observasi pembelajaran di SDN Pangpong selama ini hanya menerapkan model konvensional, materi disampaikan guru secara lisan sedangkan siswa hanya mendengarkan penjelasan tersebut yang menyebabkan kurangnya interaksi dan aktivitas siswa, sehingga pembelajaran yang berlangsung monoton dan membosankan yang menyebabkan hasil belajar siswa rendah. Penelitian ini bertujuan untuk mengetahui pengaruh model pembelajaran kooperatif tipe pair checks terhadap hasil belajar IPA siswa kelas V SDN Pangpong. Penelitian ini menggunakan pendekatan kuantitatif metode True Eksperimental dengan Prettest-Posttest Control Group Design. Teknik pengumpulan data menggunakan tes hasil belajar sebagai data utama, observasi, dan angket respon siswa sebagai data pendukung. Data yang diperoleh dianalisis menggunakan uji t dua sampel independent. Hasil analisis penelitian diperoleh thitung 4,413, dan ttabel = 2,024 sehingga thitung>ttabel dapat dinyatakan bahwa Ho ditolak. Kesimpulan dari penelitian ini adalah terdapat pengaruh model pembelajaran kooperataif tipe pair checks terhadap hasil belajar siswa."
EFEKTIVITAS PENGGUNAAN MEDIA KERANJANG BERDONGENG TERHADAP KEMAMPUAN MENYIMAK ISI CERITA (STUDI PADA KELAS V SDN NYABAKAN BARAT 01 SUMENEP),Penulis : VERA NOVIANTI,"Sulaiman, S.Pd., M.Pd","Mohammad Edy Nurtamam., S.Pd., M.Si","Penelitian ini bertujuan untuk mengetahui Efektivitas Penggunaan Media Keranjang Berdongeng Terhadap Kemampuan Menyimak Isi Cerita (Studi Pada Mata Pelajaran Bahasa Indonesia Kelas V SDN Nyabakan Barat 1 Sumenep Tahun 2015/2016). metode penelitian yang digunakan adalah metode eksperimen dengan bentuk quasi eksperimental design dan dirancang menggunakan penelitian nonequivalent control group design. Populasi penelitian ini adalah seluruh siswa kelas VA dan VB SDN Nyabakan Barat 1 Sumenep Tahun Pelajaran 2015/2016 terdiri dari kelas VA berjumlah 20 siswa dan kelas VB berjumlah 20 siswa jadi keseluruhan 40 siswa. Pengumpulan data untuk mengetahui efektivitas pembelajaran dilihat dari 4 indikator diantaranya yaitu ketuntasan belajar siswa, aktivitas guru (keterlaksanaan selama proses pembelajaran), aktivitas siswa, dan angket respon siswa. Data yang diperoleh dianalisis menggunakan teknik analisis statistik. Berdasarkan uji t, diperoleh = 4,1883 dan = 2,101 dengan demikian = 4,1883 ? = 2,101, sehingga terdapat perbedaan ketuntasan belajar siswa antara siswa yang menggunakan media keranjang berdongeng dengan siswa yang belajar secara konversional. Rata-rata ketuntasan belajar siswa pada kelas eksperimen lebih tinggi dari kelas kontrol yaitu 87,5 > 74. Hal tersebut menunjukkan bahwa Penggunaan Media Keranjang Berdongeng Efektif Terhadap Kemampuan Menyimak Isi Cerita (Studi pada Kelas V SDN Nyabakan Barat 01 Sumenep)."
"DAMPAK GAME DALAM GADGET TERHADAP
PERILAKU SOSIAL SISWA
(STUDI KASUS NILAI KEBERSAMAAN PADA SISWA SDN BLEGA 03)",Penulis : MUSDHALIFAH IDRISIYAH,"Priyono Tri Febrianto, S.Sos.,M.Si.,","M Busyro Karim, S.Ag.,M.Si.,","Penelitian ini berawal dari observasi yang dilakukan di SD Negeri Blega 03 Kabupaten
Bangkalan.Siswa sekolah dasar di SDN Blega 03 mempunyai minat yang tinggi dalam memiliki
gadget. Sebagian besar siswa-siswi SDN Blega 03 ini memiliki gadget yakni sebanyak 59% atau
52 siswa menjawab bahwa teman sebaya juga memiliki gadget. Maka dari hal itu dapat diketahui
bahwa saat ini siswa sekolah dasar sudah banyak yang memiliki gadget secara pribadi.Gadget
yang dimiliki siswa-siswi digunakan untuk bermain game. Tujuan penelitian ini untuk mengetahui
dampak game dalam gadget terhadap perilaku sosial siswa, serta untuk mengetahui nilai
kebersamaan yang tercipta di era digital. Penelitian ini menggunakan metode penelitian kualitatif
deskriptif. Objek terdapat 10 informan diaPntaranya; kepala sekolah, guru kelas IV, guru kelas V,
guru kelas VI, siswa kelas IV, siswa kelas V, siswa kelas VI, dan orangtua dari ketiga siswa.
Pengumpulan data dilakukan dengan beberapa teknik yaitu observasi, wawancara, dokumentasi,
dan triangulasi.Sedangkan untuk kegiatan analisis data dimulai dari pengambilan data, reduksi
data, penyajian data, dan penarikan kesimpulan. Hasil menunjukkan bahwa permainan game
dalam gadget tidak terlalu berdampak terhadap perilaku sosial siswa, masih banyak siswa-siswi
yang melakukan interaksi secara langsung (face to face) dan masih adanya nilai kebersamaan yang
tercipta dilingkungan siswa-siswi SDN Blega 03. Nilai kebersamaan erat kaitannya dengan
interaksi sosial, dari seringnya siswa-siswi berinteraksi dengan teman, guru, maupun orang
disekitar akan tercipta kebersamaan di dalamnya. Nilai kebersamaan yang ada sebelum adanya
game dalam gadget tidak sepenuhnya luntur, masih banyak siswa-siswi yang masih bermain antar
teman di sekolah maupun di luar lingkungan sekolah."
Pengaruh Model Pembelajaran Berbasis Masalah (PBM) Berbantukan Media Visual Sederhana Terhadap Hasil Belajar Siswa Materi Bangun Datar Kelas III SDN Pejagan 6 Bangkalan,Penulis : fitriyatur rochma,"ariesta kartika sari, S.Si., M.Pd","Moh. Edy Nurtamam, S.Pd., M.Si","Penelitian ini bertujuan untuk mengetahui pengaruh yang signifikan pada model Pembelajaran Berbasis Masalah (PBM) berbantukan media visual sederhana terhadap hasil belajar siswa materi bangun datar kelas III SDN Pejagan 6 Bangkalan. Penelitian ini menggunakan Quasi Experimental Design dengan rancangan Nonequivalent Control Group Design. Populasi penelitian ini adalah seluruh siswa kelas III SDN Pejagan 6 Bangkalan. Penentuan ukuran sampel menggunakan teknik Solvin. 27 siswa kelas III A dijadikan sampel kelas eksperimen dan 26 siswa kelas III B dijadikan sampel kelas kontrol. Data hasil belajar siswa diperoleh dari instrumen tes yang berbentuk soal uraian. Data yang terkumpul dianalisis dengan menggunakan statistik uji-t. Hasil analisis menunjukkan thitung = 2,444 > ttabel = 2,0595 dan nilai rata-rata siswa kelas eksperimen sebesar 75,78 lebih besar dari nilai rata-rata siswa pada kelas kontrol yaitu 67,69. Berdasarkan hasil penelitian tersebut dapat disimpulkan bahwa terdapat pengaruh yang signifikan pada model PBM berbantukan media visual sederhana terhadap hasil belajar siswa materi bangun datar kelas III SDN Pejagan 6 Bangkalan. Rata-rata persentase aktivitas siswa pada pertemuan ke-1 dan ke-2 yaitu 77% dan 78%. Secara keseluruhan siswa kelas III SDN Pejagan 6 Bangkalan dikategorikan aktif dalam pembelajaran dengan menggunakan model PBM berbantukan media visual sederhana."
Pengembangan Media Pembelajaran Tangga Satuan Pada Mata Pelajaran Matematika Materi Satuan Panjang dan Berat Kelas III Semester I.,Penulis : Zuly ainur rizka,"ariesta kartika sari, S.Si., M.Pd","wanda ramansyah S.Pd., M.Pd","Pengembangan ini dilatarbelakangi adanya masalah kurang aktifnya siswa dikarenakan pembelajaran masih konvensional tanpa bantuan media pembelajaran terutama pada Mata Pelajaran Matematika. Dari permasalahan tersebut pengembang ingin mengembangkan media pembelajaran tangga satuan pada mata pelajaran matematika materi satuan panjang dan berat kelas III semester I. Pengembangan inimenggunakan model pengembangan Borg dan Gall yang memiliki 10 tahapan. Tahapan tersebut antara lain: identifikasi masalah, pengumpulan informasi, desain produk, validasi desain, perbaikan desain, uji coba produk, revisi produk, uji coba pemakaian, revisi produk tahap akhir, produksi massal.Instrument pengumpulan data berupa angket, wawancara, dokumentasi. Teknik analisis data yang digunakan yaitu analisis deskriptif kualitatif, statistik deskriptif. Berdasarkan hasil penelitian yang dilakukan, diperoleh bahwa hasil prosentase kelayakan media tangga satuan menurut ahli desain pembelajaran adalah 80% (cukup valid, cukup efektif dan dapat digunakan dengan sedikit perbaikan ), menurut ahli media pembelajarn adalah 94% (sangat valid, sangat efektif dan dapat digunakan tanpa perbaikan), menurut ahli isi atau materi adalah 93% (sangat valid, sangat efektif dan dapat digunakan tanpa perbaikan), dari hasil uji coba kelompok kecil 95%, dari hasil uji coba kelompok luas 94%. Dapat disimpulkan bahwa media pembelajaran tangga satuan layak digunakan pada pembelajaran matematika materi satuan panjang dan berat."
"ANALISIS KETERAMPILAN MENULIS KARANGAN 
MELALUI KEBIASAAN MENULIS BUKU HARIAN
(Studi Kasus Siswa Kelas IV SDN Dempo Timur 03 Pamekasan)
",Penulis : Rofiatut Toyyibah,"Wahid Khoirul Ikhwan S.Pd., M.Pd","Ira Fatmawati, S.S., M.Pd","Pendidikan yang ada di Indonesia bertujuan untuk mengembangkan potensi peserta salahsatunya, yaitu dengan pembelajaran. Di dalam pembelajaran terdapat mata pelajaran Bahasa Indonesia yang mliputi empat aspek, salahsatunya aspek menulis. Aspek menulis menempati aspek terakhir dari keterampilan berbahasa. Oleh karena itu, dalam penelitian ini bertujuan untuk mengetahui: 1) kemampuan siswa dalam menulis karangan, 2) kemampuan siswa dalam menulis buku harian, 3) keterkaitan menulis buku harian terhadap kemampuan menulis karangan. Penelitian ini dilakukan di SDN Dempo Timur III Pasean Pamekasan dengan subjek penelitian siswa kelas IV dan guru kelas IV. Penelitian ini menggunakan jenis penelitian kualitatif interaktif dalam bentuk studi kasus. Pengumpulan data dilakukan dengan beberapa teknik, yaitu teknik observasi, wawancara, dan dokumentasi. Hasil yang diuraikan dari hasil penelitian, yaitu deskripsi profil sekolah, paparan data hasil wawancara, paparan hasil karangan, dan paparan hasil buku harian. Pembahasan yang diuraikan, yaitu kemampuan menulis karangan, kemampuan menulis buku harian, dan keterkaitan menulis buku harian terhadap kemampuan menulis karangan. Hasil penelitian yang diperoleh, yaitu kemampuan siswa dalam menulis karangan sedang, kemampuan siswa dalam menulis buku harian mengalami perkembngan, yaitu dari berkemampuan sedang menjadi berkemampuan amat baik, dan terdapat keterkaitan antara menulis buku harian terhadap kemampuan siswa dalam menulis karangan."
DAMPAK ORANG TUA SISWA YANG BEKERJA DI LUAR NEGERI TERHADAP MORAL DAN HASIL BELAJAR SISWA SDN BIREM 2 KECAMATAN TAMBELANGAN KABUPATEN SAMPANG,Penulis : MUHILLAH,"Priyono Tri Febrianto, S.Sos.,M.Si.","Muhammad Busyro Karim, S.Ag., M.Si.","Penelitian ini bertujuan untuk mengetahui dampak yang terjadi pada siswa di SDN Birem 2 kecamatan Tambelangan kabupaten Sampang jika orang tuanya bekerja di luar negeri. Metode penelitian yang digunakan adalah deskriptif kualitatif dengan teknik pengumpulan data melalui wawancara dan dokumentasi. Data hasil wawancara disajikan dalam bentuk matrik sedangkan data hasil dokumentasi disajikan dalam bentuk gambar dan dianalisis secara deskriptif. Teknik snowball digunakan untuk mengambil sample pada siswa kelas 3 di SDN Birem 2 Tambelangan. Ada 42 sample yang terdiri dari 1 kepala sekolah, 1 orang guru wali kelas 3, 20 wali siswa yang orang tuanya bekerja di luar negeri dan 20 siswa kelas 3 yang orang tuanya bekerja di luar negeri. Dampak yang terjadi terhadap siswa khususnya siswa kelas 3 yang orang orang tuanya bekerja di luar negeri adalah siswa mempunyai moral yang kurang baik serta hasil belajarnya rendah."
"PENGARUH POLA ASUH ORANG TUA TERHADAP KEMAMPUAN BERBICARA SISWA KELAS I SD KELURAHAN BAUJENG
PASURUAN",Penulis : RITA MUNICHA,"Sulaiman, S.Pd., M.Pd","Mohammad Edy Nurtamam, S. Pd., M. Si","Pembelajaran bahasa Indonesia diarahkan untuk meningkatkan kemampuan siswa berkomunikasi dalam bahasa Indonesia dengan baik dan benar, secara lisan maupun tulis. Namun, masih ada siswa memiliki kendala dalam berbicara. Hal tesebut dapat dipengaruhi pola asuh orang tua. Penelitan ini bertujuan mengetahui; (1) pola asuh orang tua siswa; (2) pengaruh pola asuh orang tua terhadap kemampuan berbicara. Penelitian ini menggunakan pendekatan kuantitatif jenis ekspos fakto. Populasi berjumlah 81 siswa. Jumlah sampel diambil seluruh populasi dikarenakan populasi kurang dari 100. Teknik pengumpulan data menggunakan angket dan dokumentasi. Pengujian validitas dan reliabilitas instrumen, uji normalitas, uji homogenitas, uji Anova dan uji lanjut Anova metode Schefee. Hasil penelitian menyimpulkan: (1) orang tua yang menerapkan pola asuh otoritatif 77%, permisif 16%, otoritarian 7%; (2) terdapat pengaruh yang signifikan pola asuh terhadap kemampuan berbicara siswa. Hal ini dibuktikan dengan uji Anova dengan taraf signifikakan 5% memperoleh nilai Fhitung 31,22 > Ftabel 3,114. Artinya terdapat pengaruh pola asuh orang tua terhadap kemampuan berbicara siswa kelas I SD di Kelurahan Baujeng Pasuruan. Berdasarkan uji lanjut Anova terdapat perbedaan kemampuan berbicara siswa dengan orang tua menerapkan pola asuh otoritatif serta tidak ada perbedaan antara orang tua menerapkan pola asuh otoritarian dan permisif."
"PENGARUH MODEL PEMBELAJARAN STM (SAINS 
TEKNOLOGI MASYARAKAT) TERHADAP HASIL BELAJAR 
IPA KELAS IV SDN GAYAM 2 BOJONEGORO ",Penulis : Dwi Rahayu Puji Astutik,"Mujtahidin, S.Pd., M.Pd","Fatim  Munawaroh  S.Si.,  M.Si","Tujuan penelitian ini adalah untuk mengetahui pengaruh model pembelajaran STM 
(Sains  Teknologi  Masyarakat)  terhadap  hasil  belajar  IPA  kelas  IV  SDN  Gayam  2 
Bojonegoro.  Pendekatan  penelitian  ini  adalah  kuantitatif  dengan  metode  penelitian 
quasi eksperimen dengan bentuk Nonequivalent Control Group Design yang terdapat 
dua  kelompok  dan  dipilih  secara  jenuh.  Kelas  eksperimen  menggunakan  model 
pembelajaran STM dan kelas kontrol menggunakan metode konvensional. Instrumen 
yang  digunakan  adalah  tes  hasil  belajar  dan  angket  respon  siswa.  Hasil  penelitian 
menunjukkan  bahwa  melalui  persamaan  Y=50,963+0,430X  diketahui  bahwa  tanpa 
diterapkannya model pembelajaran STM hasil belajar IPA sebesar 50,963, sedangkan 
bila  diterapkan  model  pembelajaran  STM  hasil  belajar  IPA  sebesar  72,292,  maka 
hasil  belajar  IPA    mengalami  peningkatan  sebesar  0,430.  Hasil  uji  signifikansi 
menunjukkan  t hitung =3,113>t tabel =2,074,  H 0   ditolak.  Artinya  terdapat  pengaruh 
penerapan  model  pembelajaran  STM  terhadap  hasil  belajar  IPA  kelas  IV  SDN 
Gayam 2 Bojonegoro. Hasil rata-rata uji gain ternormalisasi sebesar 0,44 berkategori 
sedang. Sedangkan rata-rata untuk respon siswa terhadap pembelajaran model STM 
sebesar 88% dengan kategori âsangat baikâ. 
 
Kata kunci : Model pembelajaran STM, Hasil belajar, IPA. "
"PENGARUH PENERAPAN METODE POSTER SESSION TERHADAP SIKAP PEDULI LINGKUNGAN PADA TEMA âLINGKUNGAN SAHABAT KITAâ SISWA KELAS V SDN DEMANGAN 1
BANGKALAN TAHUN PELAJARAN 2015-2016",Penulis : IZZATUS SYAFI MASRUROH,"Mujtahidin, S.Pd., M.Pd,","M. Busyro Karim, S.Ag., M.Si","Penelitian ini bertujuan untuk mengetahui apakah metode poster session memiliki pengaruh yang signifikan pada sikap peduli lingkungan pada tema âlingkungan sahabat kitaâ siswa kelas V SDN Demangan 1 Bangkalan. Untuk tujuan tersebut, Penelitian ini merupakan penelitian kuantitatif eksperimen menggunakan metode Quasi Experimental dengan rancangan nonequivalent control grup design.
Teknik pengumpulan data dilakukan dengan metode tes, angket dan observasi. Pengujian validitas, reliabilitas instrumen, uji normalitas, uji homogenitas, uji linier, uji regresi linier sederhana, uji signifikan t, uji gain. Diolah dengan bantuan program Excel 2007.
Hasil penelitian menunjukkan rata-rata nilai posttest kelas eksperimen sebesar 69,4 dan rata-rata nilai posttest kelas kontrol hanya 66,7 dan uji signifikasi diperoleh nilai dengan thitung sebesar 8,423 dengan ttabel = t (?/2,n-2) = 1,787, dengan thitung > ttabel maka Ho ditolak sehingga terdapat pengaruh yang signifikan. Berdasarkan hasil angket respon siswa maka rata-rata skor yang diperoleh siswa 70,74 dari sekor maksimal 80, ini menunjukkan respon siswa terhadap pembelajaran metode poster session tinggi. Sehingga menunjukkan bahwa metode poster session berpengaruh signifikan terhadap sikap peduli lingkungan siswa pada Tema âLingkungan Sahabat Kitaâ siswa kelas V SDN Demangan 1 Kabupaten Bangkalan tahun pelajaran 2015-2016."
PENGEMBANGAN MEDIA PERMAINAN MONOPOLI PEMBELAJARAN MATEMATIKA SISWA KELAS 3 SD NEGERI SUKOREJO 2 LAMONGAN,Penulis : Putri Yeni Lestari,"Mohammad Edy Nurtamam, S.Pd., M.Si","Wanda Ramansyah, S.Pd., M.Pd","
Berdasarkan hasil penelitian di SD Negeri Sukorejo 2 Lamongan pembelajaran pada mata pelajaran Matematika guru masih menggunakan metode  ceramah dan tugas sehingga proses belajar mengajar di dalam kelas monoton. Pengembang membuat media alternatif yang dapat memberikan daya tarik sehingga dapat meningkatkan hasil belajar dan mempermudah guru dalam menyampaikan materi pembelajaran. Tujuan Penelitian pengembangan ini adalah untuk merancang dan menguji kelayakan media permainan monopoli pembelajaran untuk digunakan sebagai pendukung pembelajaran Matematika materi Unsur dan Sifat-sifat bangung Datar Sederhana bagi siswa kelas 3 SD. Model Pengembangan yang digunakan adalah model Borg and Gall, media monopoli pembelajaran ini diujicobakan kepada siswa kelas 3 SD Negeri Sukorejo 2 Lamongan  mata pelajaran Matematika. Hasil yang diperoleh nilai uji kelayakan media permainan monopoli pembelajaran yang dikembangkan menurut ahli desain pembelajaran memperoleh hasil sebesar 86.53%, ahli media pembelajaran memperoleh hasil sebesar 93,33%, dan ahli materi memperoleh hasil sebesar 87,50%. Berdasarkan hasil uji kelayakan tersebut dapat diinterpretasikan bahwa media permainan monopoli pembelajaran yang dikembangkan menurut para ahli validasi termasuk pada kriteria sangat layak, serta bisa digunakan untuk mendukung pembelajaran Matematika materi Unsur dan Sifat-sifat Bangun Datar Sederhana bagi siswa kelas 3 SD Negeri Sukorejo 2 Lamongan.

Kata Kunci : media monopoli, pembelajaran Matematika, model Borg and Gall

"
Pengaruh Strategi Pembelajaran Aktif Tipe Hollywood Squares Terhadap Pemahaman Konsep Bilangan Romawi Kelas IV SDN Mlajah 2 Bangkalan.,Penulis : Rustika Faiqoh Arindani,"Ariesta Kartika Sari, S. Si., M. Pd","Moh. Edy Nurtamam, S. Pd., M. Si","Penelitian ini bertujuan untuk mengetahui pengaruh strategi pembelajaran aktif tipe Hollywood Squares terhadap pemahaman konsep bilangan Romawi. Pendekatan yang digunakan adalah pendekatan kuantitatif dengan menggunakan metode quasi eksperiment. Penelitian dilaksanakan di kelas IV SDN Mlajah 2 Bangkalan yang berjumlah 57 siswa. Pengambilan sampel dilakukan secara random. Teknik pengumpulan data dilakukan dengan metode tes dan observasi. Hasil penelitian menunjukkan, 1) persentase rata-rata hasil validasi silabus sebesar 91,25%, RPP sebesar 89,2%, dan LKS sebesar 82,4%. Secara keseluruhan rata-rata persentase sebesar 87,62%. Sehingga dapat disimpulkan perangkat pembelajaran sangat valid dan dapat digunakan dalam penelitian, 2) berdasarkan hasil penghitungan uji signifikansi, maka diperoleh nilai thitung sebesar 6,113 dan ttabel = t(?/2, n-2) = 2,069. Dengan thitung > ttabel, ini berarti H0 ditolak dan menunjukkan strategi pembelajaran aktif tipe Hollywood Squares memberikan pengaruh yang signifikan terhadap pemahaman konsep bilangan Romawi siswa kelas IV di SDN Mlajah 2 Bangkalan dengan pengaruh yang cukup kuat yaitu 62%. 3) berdasarkan observasi aktivitas siswa diperoleh nilai rata-rata persentase pada pertemuan pertama sebesar 74,86%, pertemuan kedua sebesar 81,43% dan pertemuan ketiga sebesar 83,86%. Rata-rata persentase ketiga pertemuan sebesar 80,05%. Sehingga dapat disimpulkan siswa sangat aktif dalam mengikuti proses pembelajaran dengan menggunakan strategi pembelajaran aktif tipe Hollywood Squares."
PENGARUH METODE PRACTICE-REHEARSAL PAIRS (PRP) TERHADAP HASIL BELAJAR SISWA DALAM PEMBELAJARAN MATEMATIKA KELAS III SD,Penulis : RUTINAH,"Mohammad Edy Nurtamam, S.Pd, M.Si.,","Wanda Ramansyah S.Pd, M.Pd","Penelitian ini bertujuan untuk mengetahui pengaruh metode practice-rehearsal pairs terhadap hasil belajar siswa dalam pembelajaran Matematika kelas III SD dan untuk mengetahui respon siswa terhadap penggunaan metode practice-rehearsal pairs dalam pembelajaran Matematika kelas III SD. Penelitian ini termasuk penelitian kuantitatif, dengan metode Quasi Experimental Design. Populasi pada penelitian ini adalah siswa kelas III A dan B SDN Mlajah 02 Bangkalan, yang berjumlah 53 siswa. Sampel yang digunakan adalah sampel jenuh karena semua populasi dijadikan sampel pada penelitian ini. Teknik pengumpulan data menggunakan tes, observasi, dan angket. Instrument penelitian berupa tes hasil belajar, lembar observasi aktivitas guru dan siswa, dan angket respon siswa. Berdasarkan hasil uji prasyarat yang telah dilakukan menunjukan nilai thitung sebesar 2,154 > ttabel sebesar 2,064. Berdasarkan kaidah pengujian yang digunakan nilai thitung > ttabel maka HO ditolak. Artinya ada pengaruh yang signifikan penggunaan metode practice rehearsal pairs terhadap hasil belajar. Selain itu, penggunakan metode practice rehearsal pairs dalam pembelajaran Matematika mendapat respon positif dengan perolehan persentase nilai rata-rata sebesar 83% dengan kategori sangat baik. Jadi, berdasarkan hasil analisis tersebut dapat disimpulkan bahwa metode practice rehearsal pairs berpengaruh terhadap hasil belajar siswa dan direspon positif oleh siswa dalam pembelajaran Matematika."
